Optimization Results
====================
Short Window	Long Window	Stop Loss %	Final Value
10	50	0.05	26091.65180525415
10	50	0.07	26091.65180525415
10	50	0.08	26091.65180525415
10	150	0.05	18851.011004402895
10	150	0.07	18851.011004402895
10	150	0.08	18851.011004402895
10	250	0.05	11470.369327100645
10	250	0.07	11470.369327100645
10	250	0.08	11470.369327100645
10	350	0.05	11853.12998396014
10	350	0.07	11853.12998396014
10	350	0.08	11853.12998396014
10	450	0.05	10286.090255203399
10	450	0.07	10286.090255203399
10	450	0.08	10286.090255203399
30	50	0.05	27400.599033673214
30	50	0.07	27400.599033673214
30	50	0.08	27400.599033673214
30	150	0.05	15225.78280729109
30	150	0.07	15225.78280729109
30	150	0.08	15225.78280729109
30	250	0.05	10299.2684501028
30	250	0.07	10299.2684501028
30	250	0.08	10299.2684501028
30	350	0.05	10340.471928289162
30	350	0.07	10340.471928289162
30	350	0.08	10340.471928289162
30	450	0.05	11112.543118002057
30	450	0.07	11112.543118002057
30	450	0.08	11112.543118002057
50	50	0.05	10000.0
50	50	0.07	10000.0
50	50	0.08	10000.0
50	150	0.05	18505.676816295065
50	150	0.07	18505.676816295065
50	150	0.08	18505.676816295065
50	250	0.05	10468.388037414861
50	250	0.07	10468.388037414861
50	250	0.08	10468.388037414861
50	350	0.05	10241.889124823618
50	350	0.07	10241.889124823618
50	350	0.08	10241.889124823618
50	450	0.05	9995.28036859187
50	450	0.07	9995.28036859187
50	450	0.08	9995.28036859187
70	50	0.05	18162.038051133673
70	50	0.07	18162.038051133673
70	50	0.08	18162.038051133673
70	150	0.05	15216.991291925877
70	150	0.07	15216.991291925877
70	150	0.08	15216.991291925877
70	250	0.05	11653.652379104742
70	250	0.07	11653.652379104742
70	250	0.08	11653.652379104742
70	350	0.05	10166.201600070628
70	350	0.07	10166.201600070628
70	350	0.08	10166.201600070628
70	450	0.05	11756.839596819842
70	450	0.07	11756.839596819842
70	450	0.08	11756.839596819842
90	50	0.05	16725.00357583422
90	50	0.07	16725.00357583422
90	50	0.08	16725.00357583422
90	150	0.05	13467.679523887846
90	150	0.07	13467.679523887846
90	150	0.08	13467.679523887846
90	250	0.05	11346.652940230651
90	250	0.07	11346.652940230651
90	250	0.08	11346.652940230651
90	350	0.05	11189.050420421432
90	350	0.07	11189.050420421432
90	350	0.08	11189.050420421432
90	450	0.05	11189.050420421432
90	450	0.07	11189.050420421432
90	450	0.08	11189.050420421432

Best Parameters
================
Best Short Window: 30
Best Long Window: 50
Best Stop Loss Percentage: 0.05
Best Performance: 27400.599033673214
